No.,viewCount,likeCount,dislikeCount,commentCount,DeadEndCount,shibouflagCount,seizonflagCount,renaiflagCount,videoTime,collabo,story,sub-story,flagra,shorts,viewCountLabel,vid,title,date,description
0,725776,11047,151,1301,0,1,0,0,326,0,0,0,0,0,No,5tPE8hZEEDM,〇〇フラグが立ったらどうすればいいのか？【初投稿】【アニメ】【漫画】,2019-11-02T11:00:01Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/"
1,735480,6968,196,343,0,1,0,0,242,0,0,0,0,0,No,I8heFOsZJW4,【漫画】ゾンビに噛まれた時の対処法【アニメ】【漫画】,2019-11-04T12:10:31Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！


原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/"
2,625296,6426,153,404,0,1,0,0,294,0,0,0,0,0,No,pgYM_6VKA54,【漫画】テロ組織を味方につけた一般乗客の大逆転劇【アニメ】【漫画動画】,2019-11-06T07:21:10Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！


原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/"
3,523945,4575,122,240,0,1,0,0,343,0,0,0,0,0,No,OEN8tUGot7Q,【漫画】進化直後の主人公に直面してしまったらどうなるのか【アニメ】【漫画動画】,2019-11-08T11:00:04Z,"皆さん、こんばんは！
「死亡フラグ」です！
死亡フラグが立った時に、そのキャラクターの前に現れる「死神」をやってます！
私の使命は、死亡フラグを最後まで成立させること！
といっても、いつも失敗ばかりでダメダメなんですよね…
そんな私死亡フラグと、私にいつも取り憑かれる哀れなモブ男さんの毎日を配信していくので、もし良かったら見てみてください！

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

【全力回避フラグちゃん！とは】
なんの取柄もない男、モブ男。
そんなモブ男のもとに突如現れた謎の女の子。
その女の子の名は「死亡フラグちゃん」
彼女はモブ男の死亡フラグを成立ささせるために現れた死神だったのだ。
このフラグが立ったということは、モブ男はいずれ死んでしまう。
これは、モブ男が自分に立ったフラグを回避する物語である…

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/"
4,302412,3955,86,214,0,1,0,0,248,0,0,0,0,0,No,_76be-CI5UY,【漫画】戦いで食い止める役になったらどうすればいいのか【アニメ】【漫画動画】,2019-11-10T11:18:33Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/"
5,434905,4780,95,359,0,1,0,0,291,0,0,0,0,0,No,g67j2tzep_c,【漫画】天才が人造人間に感情移入…とんでもない結末に【アニメ】【漫画動画】,2019-11-12T11:00:13Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！


原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/"
6,145243,2582,78,311,0,1,0,0,276,0,0,0,0,0,No,Iqoj9YbH2nQ,【漫画】コンクリ詰めで東京湾！？潜入捜査官に迫る身の危険…【アニメ】【漫画動画】【死亡フラグ】,2019-11-14T11:00:03Z,"今回の動画ではモブ男さんが潜入捜査員に！？
潜入捜査員となったモブ男さんにどんなフラグが立つんでしょうか？
こんな話が現実にあるかもしれないと思うとゾッとしますね！

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

【全力回避フラグちゃん！とは】
なんの取柄もない男、モブ男。
そんなモブ男のもとに突如現れた謎の女の子。
その女の子の名は「死亡フラグちゃん」
彼女はモブ男の死亡フラグを成立ささせるために現れた死神だったのだ。
このフラグが立ったということは、モブ男はいずれ死んでしまう。
これは、モブ男が自分に立ったフラグを回避する物語である…

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/"
7,599572,6617,150,536,1,1,0,0,257,0,0,0,0,0,No,ENbbA22GwGA,【漫画】リア充のための犯罪？若者が犯しがちな犯罪、礼拝所不敬罪とは？【アニメ】【漫画動画】,2019-11-16T11:00:03Z,"皆さんは礼拝所不敬罪ってご存知ですか？
神社などであんなことやこんなことをすると怒られちゃうんですからね！
全くモブ男さんはろくでなしです!

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/"
8,642605,5957,213,326,0,1,0,0,218,0,0,0,0,0,No,Z-T1TGQtIq4,【漫画】メンヘラ彼女が心中を迫ってきたら…最悪が重なりに重なり大事件が起きる！【アニメ】【漫画動画】,2019-11-18T11:00:08Z,"メンヘラって怖いですよね…
なんでモブ男さんはあんな人が好きなんでしょう！
もっと近くにもっと良い人がいるはずなのに！

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/"
9,1131816,8771,320,748,0,1,0,0,258,0,0,0,0,0,Yes,bQhUY8B5RBw,【漫画】山で遭難した迷惑ミーハー登山客、救助後、社会的に影響を受ける…【アニメ】【漫画動画】,2019-11-20T11:00:14Z,"立ちました！死亡フラグです！
紅葉の季節ですね！でも気をつけないと死亡フラグが立っちゃいますよ。モブ男さんのように浅はかな考えで山登りしてはいけません！

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

【全力回避フラグちゃん！とは】
なんの取柄もない男、モブ男。
そんなモブ男のもとに突如現れた謎の女の子。
その女の子の名は「死亡フラグちゃん」
彼女はモブ男の死亡フラグを成立ささせるために現れた死神だったのだ。
このフラグが立ったということは、モブ男はいずれ死んでしまう。
これは、モブ男が自分に立ったフラグを回避する物語である…

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
10,846701,8069,419,617,1,1,0,0,218,0,0,0,0,0,No,UpwW9R1_MpA,【閲覧注意】恐怖の人喰いピエロに襲われるとどうなるのか…？【アニメ】【漫画動画】,2019-11-22T11:00:09Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

【全力回避フラグちゃん！とは】
なんの取柄もない男、モブ男。
そんなモブ男のもとに突如現れた謎の女の子。
その女の子の名は「死亡フラグちゃん」
彼女はモブ男の死亡フラグを成立ささせるために現れた死神だったのだ。
このフラグが立ったということは、モブ男はいずれ死んでしまう。
これは、モブ男が自分に立ったフラグを回避する物語である…

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
11,466705,5055,119,385,1,1,0,0,269,0,0,0,0,0,No,F_2jI78nHdQ,【漫画】アルコール依存症になったサラリーマン…人生の転落劇【アニメ】【漫画動画】,2019-11-24T11:00:02Z,"アルコール…怖いですよね…。
モブ男さんはどうでもいいですが、皆さんは大切なものを失ってから後悔することがないようにしてくださいね！

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
12,603024,5739,112,304,0,1,0,0,286,0,0,0,0,0,No,V81OmfKmOe0,【漫画】男女が砂漠で迷うとどうなるのか？…まさかの〇〇でピンチを切り抜ける？【アニメ】【漫画動画】,2019-11-26T11:00:08Z,"モブ男さん、砂漠で遭難したみたいですね。
何やら焦っているようですけど、
砂漠で溺れる～ってどういうことでしょう？？


チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！


原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
13,461492,4020,219,296,0,1,0,0,248,0,0,0,0,0,No,JbzkpIcu_6Y,【漫画】痴漢冤罪でリストラ！女子高生の罠に人生設計を狂わされた男の復讐劇【アニメ】【スカッと】,2019-11-28T11:00:04Z,"モブ男さん！どれだけクズだろうと痴漢は絶対にダメです！
クズを言い訳にしようって…え？本当はやってない…？
なんかごめんなさい…

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
14,428470,4624,125,255,0,1,0,0,253,0,0,0,0,0,No,fTiQWf3cZto,【漫画】海外では犯罪⁉︎逮捕もあり得るNGマナーに気をつけよう【アニメ】【漫画動画】,2019-11-30T11:00:07Z,"皆さんは海外へ行ったことはありますか？
日本では常識的なことでも、海外では非常識となってしまうことがあるようです。
モブ男さんは海外へ行かずとも失礼なことをする人のようですが…

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
15,1882538,14768,488,1283,0,1,0,0,250,0,0,0,0,0,Yes,f0Yiyur-GfY,【漫画】糖尿病の本当の恐怖…あなたは大丈夫…？【アニメ】【漫画動画】,2019-12-02T11:00:07Z,"立ちました！死亡フラグです！
皆さんは大丈夫でしょうか？糖尿病！
食生活が隔たると、病気になってしまいます。
それにしても、モブ男さんは何事とも極端ですねえ…

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

【全力回避フラグちゃん！とは】
なんの取柄もない男、モブ男。
そんなモブ男のもとに突如現れた謎の女の子。
その女の子の名は「死亡フラグちゃん」
彼女はモブ男の死亡フラグを成立ささせるために現れた死神だったのだ。
このフラグが立ったということは、モブ男はいずれ死んでしまう。
これは、モブ男が自分に立ったフラグを回避する物語である…

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
16,448035,4862,107,400,0,1,0,0,229,0,0,0,0,0,No,ZcVISFvFkYg,【漫画】台風直撃でも外出してしまう人の心理【アニメ】【漫画動画】,2019-12-04T11:00:08Z,"立ちました！死亡フラグです！
台風でも出かける人っていますよね…。
出かけるよう言ってくる会社もあったり…。
私がいうのもなんですが、安全が第一ですよ。

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

【全力回避フラグちゃん！とは】
なんの取柄もない男、モブ男。
そんなモブ男のもとに突如現れた謎の女の子。
その女の子の名は「死亡フラグちゃん」
彼女はモブ男の死亡フラグを成立ささせるために現れた死神だったのだ。
このフラグが立ったということは、モブ男はいずれ死んでしまう。
これは、モブ男が自分に立ったフラグを回避する物語である…

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
17,778005,8289,154,539,0,1,0,0,253,0,0,0,0,0,No,6u1XsTDsmtg,【漫画】閲覧注意…誰もいないはずの家に人影が…【アニメ】【漫画動画】,2019-12-06T11:00:01Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！


原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
18,1501744,11827,426,930,0,1,0,0,407,0,0,0,0,0,Yes,whBNy1wHuow,【漫画】世界一気持ちいいことは何なのか…？【アニメ】【漫画動画】,2019-12-08T11:00:12Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！


原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
19,3177590,27748,750,2372,0,1,0,0,245,0,0,0,0,0,Yes,SNNWqS3PqzM,【漫画】もしも小人になったらどうなるのか？…あんなコトやこんなコトが…？？【アニメ】【漫画動画】,2019-12-10T11:00:05Z,"皆さんも一度は妄想したことがあるんじゃないでしょうか？
「もし小人さんになったら！」
ロマンチックで可愛らしい空想のはずが
モブ男さんにかかればまたサイテーになります…

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
20,1120962,7314,283,452,0,1,0,0,286,0,0,0,0,0,Yes,8HhAtNO6rpU,【悲劇】カジノは人を狂わせる…ギャンブルで破滅した男【アニメ】【漫画動画】,2019-12-12T11:00:49Z,"カジノで大勝ちしているモブ男さん…
どうせギャンブル依存症に…と思いきや、まさかの事態に！！

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
21,2047926,16638,486,1147,0,1,0,0,289,0,0,0,0,0,Yes,SiKxJBTNAMA,【漫画】お風呂で寝ると失神する！？お風呂に入るうえで注意した方が良いこと【アニメ】【漫画動画】,2019-12-14T11:00:09Z,"お風呂、気持ちいいですよね〜
でもあんまり気持ちよすぎて寝てしまうのは危険です！
しかもモブ男さんの場合はお風呂でお酒なんて…
さすが次元が違います…

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
22,1101389,8505,308,755,0,1,0,0,253,0,0,0,0,0,Yes,O946jkHk_iM,【漫画】早食いに人生をかけた男…→その男の人生は思わぬ方向に…【アニメ】【漫画動画】,2019-12-16T11:00:02Z,"早食い大会！なんでみんなこんなことするんでしょう？
そしてやはり愚かなモブ男さんは参加してます。
モブ美さんとの夢があるらしく…

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/"
