,No.,vid,title,date,description,viewCount,likeCount,dislikeCount,commentCount,videoTime,DeadEndCount,shibouflagCount,seizonflagCount,renaiflagCount,tsne_x,tsne_y,cluster
0,1,5tPE8hZEEDM,〇〇フラグが立ったらどうすればいいのか？【初投稿】【アニメ】【漫画】,2019-11-02T11:00:01Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/",824979,12738,196,1469,PT5M26S,0.0,1.0,0.0,0.0,-0.994817,-4.241272,0
1,2,I8heFOsZJW4,【漫画】ゾンビに噛まれた時の対処法【アニメ】【漫画】,2019-11-04T12:10:31Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！


原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/",764356,7449,206,354,PT4M2S,0.0,1.0,0.0,0.0,-13.389027,-9.886232,0
2,3,pgYM_6VKA54,【漫画】テロ組織を味方につけた一般乗客の大逆転劇【アニメ】【漫画動画】,2019-11-06T07:21:10Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！


原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/",640411,6704,154,408,PT4M54S,0.0,1.0,0.0,0.0,-9.946229,-9.2021675,0
3,4,OEN8tUGot7Q,【漫画】進化直後の主人公に直面してしまったらどうなるのか【アニメ】【漫画動画】,2019-11-08T11:00:04Z,"皆さん、こんばんは！
「死亡フラグ」です！
死亡フラグが立った時に、そのキャラクターの前に現れる「死神」をやってます！
私の使命は、死亡フラグを最後まで成立させること！
といっても、いつも失敗ばかりでダメダメなんですよね…
そんな私死亡フラグと、私にいつも取り憑かれる哀れなモブ男さんの毎日を配信していくので、もし良かったら見てみてください！

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

【全力回避フラグちゃん！とは】
なんの取柄もない男、モブ男。
そんなモブ男のもとに突如現れた謎の女の子。
その女の子の名は「死亡フラグちゃん」
彼女はモブ男の死亡フラグを成立ささせるために現れた死神だったのだ。
このフラグが立ったということは、モブ男はいずれ死んでしまう。
これは、モブ男が自分に立ったフラグを回避する物語である…

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/",537292,4802,126,243,PT5M43S,0.0,1.0,0.0,0.0,-4.893494,-3.8940964,0
4,5,_76be-CI5UY,【漫画】戦いで食い止める役になったらどうすればいいのか【アニメ】【漫画動画】,2019-11-10T11:18:33Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/",314283,4188,88,221,PT4M8S,0.0,1.0,0.0,0.0,11.713142,10.3008375,3
5,6,g67j2tzep_c,【漫画】天才が人造人間に感情移入…とんでもない結末に【アニメ】【漫画動画】,2019-11-12T11:00:13Z,"チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！


原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/",446816,4976,95,368,PT4M51S,0.0,1.0,0.0,0.0,-11.24859,-11.207857,0
6,7,Iqoj9YbH2nQ,【漫画】コンクリ詰めで東京湾！？潜入捜査官に迫る身の危険…【アニメ】【漫画動画】【死亡フラグ】,2019-11-14T11:00:03Z,"今回の動画ではモブ男さんが潜入捜査員に！？
潜入捜査員となったモブ男さんにどんなフラグが立つんでしょうか？
こんな話が現実にあるかもしれないと思うとゾッとしますね！

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

【全力回避フラグちゃん！とは】
なんの取柄もない男、モブ男。
そんなモブ男のもとに突如現れた謎の女の子。
その女の子の名は「死亡フラグちゃん」
彼女はモブ男の死亡フラグを成立ささせるために現れた死神だったのだ。
このフラグが立ったということは、モブ男はいずれ死んでしまう。
これは、モブ男が自分に立ったフラグを回避する物語である…

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/",151159,2719,82,318,PT4M36S,0.0,1.0,0.0,0.0,0.47982436,-5.4554863,0
7,8,ENbbA22GwGA,【漫画】リア充のための犯罪？若者が犯しがちな犯罪、礼拝所不敬罪とは？【アニメ】【漫画動画】,2019-11-16T11:00:03Z,"皆さんは礼拝所不敬罪ってご存知ですか？
神社などであんなことやこんなことをすると怒られちゃうんですからね！
全くモブ男さんはろくでなしです!

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/",613822,6849,153,544,PT4M17S,1.0,1.0,0.0,0.0,-18.644518,-14.257996,2
8,9,Z-T1TGQtIq4,【漫画】メンヘラ彼女が心中を迫ってきたら…最悪が重なりに重なり大事件が起きる！【アニメ】【漫画動画】,2019-11-18T11:00:08Z,"メンヘラって怖いですよね…
なんでモブ男さんはあんな人が好きなんでしょう！
もっと近くにもっと良い人がいるはずなのに！

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/",662032,6269,222,332,PT3M38S,0.0,1.0,0.0,0.0,-15.635947,-13.750913,2
9,10,bQhUY8B5RBw,【漫画】山で遭難した迷惑ミーハー登山客、救助後、社会的に影響を受ける…【アニメ】【漫画動画】,2019-11-20T11:00:14Z,"立ちました！死亡フラグです！
紅葉の季節ですね！でも気をつけないと死亡フラグが立っちゃいますよ。モブ男さんのように浅はかな考えで山登りしてはいけません！

チャンネル登録、高評価よろしくお願いします！
https://www.youtube.com/channel/UCo_nZN5yB0rmfoPBVjYRMmw?sub_confirm=1
ツイッターもフォローしてくれると嬉しいです！
https://twitter.com/flag__chan
面白いと思ったら # フラグちゃんでツイートしてね！

【全力回避フラグちゃん！とは】
なんの取柄もない男、モブ男。
そんなモブ男のもとに突如現れた謎の女の子。
その女の子の名は「死亡フラグちゃん」
彼女はモブ男の死亡フラグを成立ささせるために現れた死神だったのだ。
このフラグが立ったということは、モブ男はいずれ死んでしまう。
これは、モブ男が自分に立ったフラグを回避する物語である…

原作：biki
企画・製作：株式会社Plott

【使用している音楽素材など】
audiostock https://audiostock.jp/
http://www.music-note.jp/index.html
https://taira-komori.jpn.org/human01.html
https://soundeffect-lab.info/sound/anime/",1153536,9055,325,757,PT4M18S,0.0,1.0,0.0,0.0,-12.344413,-8.207913,0
